combo_label,odd1,odd2,combo_odds,legs_summary,,Combination: Match Result (odd1) - 1st Half Corners (odd2)
1-Over 4.5,1.45,1.95,2.85,Match Result: Racing Club @ 1.4500  |  1st Half Corners: Over 4.5 @ 1.9500,,
1-Under 4.5,1.45,1.8,2.5,Match Result: Racing Club @ 1.4500  |  1st Half Corners: Under 4.5 @ 1.8000,,
X-Over 4.5,4.05,1.95,7.9,Match Result: Draw @ 4.0500  |  1st Half Corners: Over 4.5 @ 1.9500,,
X-Under 4.5,4.05,1.8,7.7,Match Result: Draw @ 4.0500  |  1st Half Corners: Under 4.5 @ 1.8000,,
2-Over 4.5,8.75,1.95,15,Match Result: Estudiantes Rio Cuarto @ 8.7500  |  1st Half Corners: Over 4.5 @ 1.9500,,
2-Under 4.5,8.75,1.8,14.5,Match Result: Estudiantes Rio Cuarto @ 8.7500  |  1st Half Corners: Under 4.5 @ 1.8000,,
1-Under 4.5,1.75,1.78,3.05,Match Result: CA Lanus @ 1.7500  |  1st Half Corners: Under 4.5 @ 1.7800,,
2-Over 4.5,5.4,1.98,10,Match Result: Newells Old Boys @ 5.4000  |  1st Half Corners: Over 4.5 @ 1.9800,,
2-Under 4.5,5.4,1.78,9.5,Match Result: Newells Old Boys @ 5.4000  |  1st Half Corners: Under 4.5 @ 1.7800,,
1-Over 3.5,3.25,1.62,5,Match Result: CA Aldosivi @ 3.2500  |  1st Half Corners: Over 3.5 @ 1.6200,,
2-Over 3.5,2.65,1.62,4.25,Match Result: CA Huracan @ 2.6500  |  1st Half Corners: Over 3.5 @ 1.6200,,
X-Over 3.5,2.75,1.62,4.55,Match Result: Draw @ 2.7500  |  1st Half Corners: Over 3.5 @ 1.6200,,
X-Under 3.5,2.75,2.2,6.1,Match Result: Draw @ 2.7500  |  1st Half Corners: Under 3.5 @ 2.2000,,
1-Under 4.5,2.65,1.6,4.1,Match Result: Instituto AC Cordoba @ 2.6500  |  1st Half Corners: Under 4.5 @ 1.6000,,
X-Under 4.5,2.95,1.6,4.75,Match Result: Draw @ 2.9500  |  1st Half Corners: Under 4.5 @ 1.6000,,
1-Under 3.5,3,2.27,6.6,Match Result: Central Cordoba @ 3.0000  |  1st Half Corners: Under 3.5 @ 2.2700,,
X-Over 3.5,2.52,1.6,3.95,Match Result: Draw @ 2.5200  |  1st Half Corners: Over 3.5 @ 1.6000,,
X-Under 3.5,2.52,2.27,5.7,Match Result: Draw @ 2.5200  |  1st Half Corners: Under 3.5 @ 2.2700,,
2-Over 3.5,3.1,1.6,4.9,Match Result: Deportivo Riestra @ 3.1000  |  1st Half Corners: Over 3.5 @ 1.6000,,
2-Under 3.5,3.1,2.27,7,Match Result: Deportivo Riestra @ 3.1000  |  1st Half Corners: Under 3.5 @ 2.2700,,
1-Under 4.5,2.92,1.62,4.6,Match Result: Barracas Central @ 2.9200  |  1st Half Corners: Under 4.5 @ 1.6200,,
1-Over 3.5,2.27,1.62,3.5,Match Result: San Lorenzo @ 2.2700  |  1st Half Corners: Over 3.5 @ 1.6200,,
X-Over 3.5,2.72,1.62,4.4,Match Result: Draw @ 2.7200  |  1st Half Corners: Over 3.5 @ 1.6200,,
2-Under 3.5,4.15,2.22,9,Match Result: Defensa y Justicia @ 4.1500  |  1st Half Corners: Under 3.5 @ 2.2200,,
1-Under 4.5,2.3,1.83,4,Match Result: Club Atletico Tucuman @ 2.3000  |  1st Half Corners: Under 4.5 @ 1.8300,,
1-Over 4.5,2.32,2.15,4.7,Match Result: Newells Old Boys @ 2.3200  |  1st Half Corners: Over 4.5 @ 2.1500,,
1-Under 4.5,2.32,1.65,3.75,Match Result: Newells Old Boys @ 2.3200  |  1st Half Corners: Under 4.5 @ 1.6500,,
X-Over 4.5,2.92,2.15,6.4,Match Result: Draw @ 2.9200  |  1st Half Corners: Over 4.5 @ 2.1500,,
X-Under 4.5,2.92,1.65,4.85,Match Result: Draw @ 2.9200  |  1st Half Corners: Under 4.5 @ 1.6500,,
2-Over 4.5,3.65,2.15,7.4,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6500  |  1st Half Corners: Over 4.5 @ 2.1500,,
2-Under 4.5,3.65,1.65,5.9,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6500  |  1st Half Corners: Under 4.5 @ 1.6500,,
1-Over 4.5,1.65,2.05,3.35,Match Result: Boca Juniors @ 1.6500  |  1st Half Corners: Over 4.5 @ 2.0500,,
1-Under 4.5,1.65,1.72,2.77,Match Result: Boca Juniors @ 1.6500  |  1st Half Corners: Under 4.5 @ 1.7200,,
2-Over 4.5,6.7,2.05,12.5,Match Result: Instituto AC Cordoba @ 6.7000  |  1st Half Corners: Over 4.5 @ 2.0500,,
2-Under 4.5,6.7,1.72,10.75,Match Result: Instituto AC Cordoba @ 6.7000  |  1st Half Corners: Under 4.5 @ 1.7200,,
1-Over 4.5,2.05,2.22,4.3,Match Result: CA Independiente @ 2.0500  |  1st Half Corners: Over 4.5 @ 2.2200,,
1-Under 4.5,2.05,1.62,3.3,Match Result: CA Independiente @ 2.0500  |  1st Half Corners: Under 4.5 @ 1.6200,,
X-Over 4.5,3.2,2.22,7.2,Match Result: Draw @ 3.2000  |  1st Half Corners: Over 4.5 @ 2.2200,,
X-Under 4.5,3.2,1.62,5.1,Match Result: Draw @ 3.2000  |  1st Half Corners: Under 4.5 @ 1.6200,,
2-Over 4.5,4.05,2.22,8.5,Match Result: CA Talleres de Cordoba @ 4.0500  |  1st Half Corners: Over 4.5 @ 2.2200,,
2-Under 4.5,4.05,1.62,6.3,Match Result: CA Talleres de Cordoba @ 4.0500  |  1st Half Corners: Under 4.5 @ 1.6200,,
1-Over 4.5,2.92,2.25,6,Match Result: Defensa y Justicia @ 2.9200  |  1st Half Corners: Over 4.5 @ 2.2500,,
2-Over 4.5,2.7,2.25,5.8,Match Result: Union de Santa Fe @ 2.7000  |  1st Half Corners: Over 4.5 @ 2.2500,,
1-Over 4.5,2.32,2.07,4.5,Match Result: Velez Sarsfield @ 2.3200  |  1st Half Corners: Over 4.5 @ 2.0700,,
1-Under 4.5,2.32,1.7,3.9,Match Result: Velez Sarsfield @ 2.3200  |  1st Half Corners: Under 4.5 @ 1.7000,,
2-Over 4.5,3.4,2.07,6.9,Match Result: CA Lanus @ 3.4000  |  1st Half Corners: Over 4.5 @ 2.0700,,
2-Under 4.5,3.4,1.7,5.4,Match Result: CA Lanus @ 3.4000  |  1st Half Corners: Under 4.5 @ 1.7000,,
X-Over 4.5,3.05,2.07,6.5,Match Result: Draw @ 3.0500  |  1st Half Corners: Over 4.5 @ 2.0700,,
1-Over 3.5,6.9,1.6,10.5,Match Result: Estudiantes Rio Cuarto @ 6.9000  |  1st Half Corners: Over 3.5 @ 1.6000,,
1-Under 3.5,6.9,2.27,14,Match Result: Estudiantes Rio Cuarto @ 6.9000  |  1st Half Corners: Under 3.5 @ 2.2700,,
2-Over 3.5,1.6,1.6,2.52,Match Result: River Plate @ 1.6000  |  1st Half Corners: Over 3.5 @ 1.6000,,
