combo_label,odd1,odd2,combo_odds,legs_summary,,Combination: Match Result (odd1) - 2nd Half Corners (odd2)
1-Over 1.5,1.45,1.04,1.5,Match Result: Racing Club @ 1.4500  |  2nd Half Corners: Over 1.5 @ 1.0400,,
1-Under 1.5,1.45,9.5,12.5,Match Result: Racing Club @ 1.4500  |  2nd Half Corners: Under 1.5 @ 9.5000,,
1-Over 2.5,1.45,1.14,1.65,Match Result: Racing Club @ 1.4500  |  2nd Half Corners: Over 2.5 @ 1.1400,,
1-Under 3.5,1.45,3,4,Match Result: Racing Club @ 1.4500  |  2nd Half Corners: Under 3.5 @ 3.0000,,
1-Under 4.5,1.45,1.95,2.67,Match Result: Racing Club @ 1.4500  |  2nd Half Corners: Under 4.5 @ 1.9500,,
1-Over 6.5,1.45,4,5.9,Match Result: Racing Club @ 1.4500  |  2nd Half Corners: Over 6.5 @ 4.0000,,
1-Under 5.5,1.45,1.47,2.05,Match Result: Racing Club @ 1.4500  |  2nd Half Corners: Under 5.5 @ 1.4700,,
1-Under 6.5,1.45,1.22,1.72,Match Result: Racing Club @ 1.4500  |  2nd Half Corners: Under 6.5 @ 1.2200,,
1-Under 7.5,1.45,1.1,1.55,Match Result: Racing Club @ 1.4500  |  2nd Half Corners: Under 7.5 @ 1.1000,,
1-Over 9.5,1.45,11.75,17.5,Match Result: Racing Club @ 1.4500  |  2nd Half Corners: Over 9.5 @ 11.7500,,
1-Under 8.5,1.45,1.04,1.47,Match Result: Racing Club @ 1.4500  |  2nd Half Corners: Under 8.5 @ 1.0400,,
1-Under 9.5,1.45,1.015,1.45,Match Result: Racing Club @ 1.4500  |  2nd Half Corners: Under 9.5 @ 1.0150,,
X-Under 1.5,4.05,9.5,40,Match Result: Draw @ 4.0500  |  2nd Half Corners: Under 1.5 @ 9.5000,,
X-Over 8.5,4.05,9.25,28,Match Result: Draw @ 4.0500  |  2nd Half Corners: Over 8.5 @ 9.2500,,
2-Under 1.5,8.75,9.5,80,Match Result: Estudiantes Rio Cuarto @ 8.7500  |  2nd Half Corners: Under 1.5 @ 9.5000,,
2-Over 9.5,8.75,11.75,65,Match Result: Estudiantes Rio Cuarto @ 8.7500  |  2nd Half Corners: Over 9.5 @ 11.7500,,
1-Over 1.5,1.75,1.04,1.78,Match Result: CA Lanus @ 1.7500  |  2nd Half Corners: Over 1.5 @ 1.0400,,
1-Over 2.5,1.75,1.14,1.98,Match Result: CA Lanus @ 1.7500  |  2nd Half Corners: Over 2.5 @ 1.1400,,
1-Under 1.5,1.75,9.5,15,Match Result: CA Lanus @ 1.7500  |  2nd Half Corners: Under 1.5 @ 9.5000,,
1-Under 2.5,1.75,5.3,8.25,Match Result: CA Lanus @ 1.7500  |  2nd Half Corners: Under 2.5 @ 5.3000,,
1-Under 3.5,1.75,3.05,4.9,Match Result: CA Lanus @ 1.7500  |  2nd Half Corners: Under 3.5 @ 3.0500,,
1-Under 5.5,1.75,1.47,2.45,Match Result: CA Lanus @ 1.7500  |  2nd Half Corners: Under 5.5 @ 1.4700,,
1-Under 6.5,1.75,1.22,2.07,Match Result: CA Lanus @ 1.7500  |  2nd Half Corners: Under 6.5 @ 1.2200,,
1-Over 7.5,1.75,6.3,10.5,Match Result: CA Lanus @ 1.7500  |  2nd Half Corners: Over 7.5 @ 6.3000,,
1-Under 7.5,1.75,1.1,1.88,Match Result: CA Lanus @ 1.7500  |  2nd Half Corners: Under 7.5 @ 1.1000,,
1-Over 9.5,1.75,11.75,19,Match Result: CA Lanus @ 1.7500  |  2nd Half Corners: Over 9.5 @ 11.7500,,
1-Under 9.5,1.75,1.015,1.75,Match Result: CA Lanus @ 1.7500  |  2nd Half Corners: Under 9.5 @ 1.0150,,
X-Under 1.5,3.45,9.5,37,Match Result: Draw @ 3.4500  |  2nd Half Corners: Under 1.5 @ 9.5000,,
X-Under 3.5,3.45,3.05,10.25,Match Result: Draw @ 3.4500  |  2nd Half Corners: Under 3.5 @ 3.0500,,
2-Under 1.5,5.4,9.5,50,Match Result: Newells Old Boys @ 5.4000  |  2nd Half Corners: Under 1.5 @ 9.5000,,
1-Over 1.5,3.25,1.05,3.25,Match Result: CA Aldosivi @ 3.2500  |  2nd Half Corners: Over 1.5 @ 1.0500,,
1-Over 2.5,3.25,1.18,3.65,Match Result: CA Aldosivi @ 3.2500  |  2nd Half Corners: Over 2.5 @ 1.1800,,
1-Under 1.5,3.25,8.75,25,Match Result: CA Aldosivi @ 3.2500  |  2nd Half Corners: Under 1.5 @ 8.7500,,
1-Over 3.5,3.25,1.44,4.55,Match Result: CA Aldosivi @ 3.2500  |  2nd Half Corners: Over 3.5 @ 1.4400,,
1-Under 2.5,3.25,4.55,13,Match Result: CA Aldosivi @ 3.2500  |  2nd Half Corners: Under 2.5 @ 4.5500,,
1-Under 3.5,3.25,2.65,7.7,Match Result: CA Aldosivi @ 3.2500  |  2nd Half Corners: Under 3.5 @ 2.6500,,
1-Over 4.5,3.25,1.98,6.1,Match Result: CA Aldosivi @ 3.2500  |  2nd Half Corners: Over 4.5 @ 1.9800,,
1-Over 5.5,3.25,3,9,Match Result: CA Aldosivi @ 3.2500  |  2nd Half Corners: Over 5.5 @ 3.0000,,
1-Under 4.5,3.25,1.78,5.5,Match Result: CA Aldosivi @ 3.2500  |  2nd Half Corners: Under 4.5 @ 1.7800,,
1-Over 6.5,3.25,4.8,14.5,Match Result: CA Aldosivi @ 3.2500  |  2nd Half Corners: Over 6.5 @ 4.8000,,
1-Under 6.5,3.25,1.16,3.55,Match Result: CA Aldosivi @ 3.2500  |  2nd Half Corners: Under 6.5 @ 1.1600,,
1-Over 7.5,3.25,7.4,21,Match Result: CA Aldosivi @ 3.2500  |  2nd Half Corners: Over 7.5 @ 7.4000,,
