combo_label,odd1,odd2,combo_odds,legs_summary,,Combination: Match Result (odd1) - Over/Under Corners (odd2)
1-Over 9.5,1.95,2.02,3.8,Match Result: Χετάφε @ 1.9500  |  Over/Under Corners: Over 9.5 @ 2.0200,,
1-Under 9.5,1.95,1.75,3.3,Match Result: Χετάφε @ 1.9500  |  Over/Under Corners: Under 9.5 @ 1.7500,,
2-Over 9.5,4.65,2.02,9,Match Result: Ράγιο Βαγιεκάνο @ 4.6500  |  Over/Under Corners: Over 9.5 @ 2.0200,,
2-Under 9.5,4.65,1.75,7.7,Match Result: Ράγιο Βαγιεκάνο @ 4.6500  |  Over/Under Corners: Under 9.5 @ 1.7500,,
X-Over 9.5,3.15,2.02,6.6,Match Result: Ισοπαλία @ 3.1500  |  Over/Under Corners: Over 9.5 @ 2.0200,,
X-Under 9.5,3.15,1.75,5.5,Match Result: Ισοπαλία @ 3.1500  |  Over/Under Corners: Under 9.5 @ 1.7500,,
1-Over 9.5,2.42,1.72,4,Match Result: Σεβίλλη @ 2.4200  |  Over/Under Corners: Over 9.5 @ 1.7200,,
2-Over 9.5,2.87,1.72,4.6,Match Result: Ρεάλ Σοσιεδάδ @ 2.8700  |  Over/Under Corners: Over 9.5 @ 1.7200,,
2-Under 9.5,2.87,2.05,5.9,Match Result: Ρεάλ Σοσιεδάδ @ 2.8700  |  Over/Under Corners: Under 9.5 @ 2.0500,,
X-Over 9.5,3.45,1.72,6.1,Match Result: Ισοπαλία @ 3.4500  |  Over/Under Corners: Over 9.5 @ 1.7200,,
X-Under 9.5,3.45,2.05,6.6,Match Result: Ισοπαλία @ 3.4500  |  Over/Under Corners: Under 9.5 @ 2.0500,,
1-Over 8.5,1.38,1.67,2.32,Match Result: PAOK @ 1.3800  |  Over/Under Corners: Over 8.5 @ 1.6700,,
1-Under 8.5,1.38,2.12,2.77,Match Result: PAOK @ 1.3800  |  Over/Under Corners: Under 8.5 @ 2.1200,,
2-Over 8.5,8.5,1.67,11.75,Match Result: OFI Crete @ 8.5000  |  Over/Under Corners: Over 8.5 @ 1.6700,,
2-Under 8.5,8.5,2.12,18.5,Match Result: OFI Crete @ 8.5000  |  Over/Under Corners: Under 8.5 @ 2.1200,,
X-Over 8.5,4.75,1.67,7.4,Match Result: Draw @ 4.7500  |  Over/Under Corners: Over 8.5 @ 1.6700,,
X-Under 8.5,4.75,2.12,11.25,Match Result: Draw @ 4.7500  |  Over/Under Corners: Under 8.5 @ 2.1200,,
1-Over 9.5,1.6,1.87,3.05,Match Result: Μπέτις @ 1.6000  |  Over/Under Corners: Over 9.5 @ 1.8700,,
1-Under 9.5,1.6,1.87,2.85,Match Result: Μπέτις @ 1.6000  |  Over/Under Corners: Under 9.5 @ 1.8700,,
2-Over 9.5,5.7,1.87,9,Match Result: Οβιέδο @ 5.7000  |  Over/Under Corners: Over 9.5 @ 1.8700,,
2-Under 9.5,5.7,1.87,10.25,Match Result: Οβιέδο @ 5.7000  |  Over/Under Corners: Under 9.5 @ 1.8700,,
X-Over 9.5,4,1.87,7.2,Match Result: Ισοπαλία @ 4.0000  |  Over/Under Corners: Over 9.5 @ 1.8700,,
X-Under 9.5,4,1.87,7.9,Match Result: Ισοπαλία @ 4.0000  |  Over/Under Corners: Under 9.5 @ 1.8700,,
1-Over 10.5,1.5,1.98,2.92,Match Result: Χόφενχαϊμ @ 1.5000  |  Over/Under Corners: Over 10.5 @ 1.9800,,
1-Under 10.5,1.5,1.78,2.52,Match Result: Χόφενχαϊμ @ 1.5000  |  Over/Under Corners: Under 10.5 @ 1.7800,,
X-Under 10.5,4.8,1.78,9,Match Result: Ισοπαλία @ 4.8000  |  Over/Under Corners: Under 10.5 @ 1.7800,,
2-Over 10.5,5.8,1.98,8.75,Match Result: Βέρντερ Βρέμης @ 5.8000  |  Over/Under Corners: Over 10.5 @ 1.9800,,
2-Under 10.5,5.8,1.78,9.5,Match Result: Βέρντερ Βρέμης @ 5.8000  |  Over/Under Corners: Under 10.5 @ 1.7800,,
1-Over 9.5,2.02,1.67,3.4,Match Result: Τσέλσι @ 2.0200  |  Over/Under Corners: Over 9.5 @ 1.6700,,
1-Under 9.5,2.02,2.12,3.9,Match Result: Τσέλσι @ 2.0200  |  Over/Under Corners: Under 9.5 @ 2.1200,,
2-Over 9.5,3.65,1.67,5.6,Match Result: Λιντς @ 3.6500  |  Over/Under Corners: Over 9.5 @ 1.6700,,
2-Under 9.5,3.65,2.12,7.7,Match Result: Λιντς @ 3.6500  |  Over/Under Corners: Under 9.5 @ 2.1200,,
X-Over 9.5,3.55,1.67,5.8,Match Result: Ισοπαλία @ 3.5500  |  Over/Under Corners: Over 9.5 @ 1.6700,,
X-Under 9.5,3.55,2.12,7.9,Match Result: Ισοπαλία @ 3.5500  |  Over/Under Corners: Under 9.5 @ 2.1200,,
1-Over 10.5,2.8,2,5.1,Match Result: Φούλαμ @ 2.8000  |  Over/Under Corners: Over 10.5 @ 2.0000,,
1-Under 10.5,2.8,1.75,4.5,Match Result: Φούλαμ @ 2.8000  |  Over/Under Corners: Under 10.5 @ 1.7500,,
2-Over 10.5,2.52,2,4.65,Match Result: Άστον Βίλα @ 2.5200  |  Over/Under Corners: Over 10.5 @ 2.0000,,
2-Under 10.5,2.52,1.75,4.3,Match Result: Άστον Βίλα @ 2.5200  |  Over/Under Corners: Under 10.5 @ 1.7500,,
X-Over 10.5,3.35,2,6.7,Match Result: Ισοπαλία @ 3.3500  |  Over/Under Corners: Over 10.5 @ 2.0000,,
